oligo_tag,timepoint,fake,Size_Factor,batch,sample,temp,pseudostage,umap_1,umap_2
reference-42-GAP18-42hpf_P10_B7,42,FALSE,0.77642645632968,GAP18,GAP18,28C,27.7578886776982,-6.58539431646189,6.15641590187979
reference-46-GAP18-46hpf_P2_E10,46,FALSE,0.791215531688341,GAP18,GAP18,28C,34.6670006047962,-3.57169907644114,12.8801130873961
reference-46-GAP18-46hpf_P2_C8,46,FALSE,0.881798618260137,GAP18,GAP18,28C,34.3600029962405,-3.91768401220164,12.8685049636169
reference-44-GAP18-44hpf_P2_H6,44,FALSE,0.628535702743075,GAP18,GAP18,28C,28.3133996916068,-6.42211859777293,7.52257295678091
reference-42-GAP18-42hpf_P10_H7,42,FALSE,0.750545574452024,GAP18,GAP18,28C,30.2579398574468,-5.6676525409492,8.98988195488882
reference-40-GAP18-40hpf_P10_G3,40,FALSE,0.709875617215708,GAP18,GAP18,28C,26.1442464255393,-6.42254250600657,5.33786150048208
reference-46-GAP18-46hpf_P2_E12,46,FALSE,0.493585390095297,GAP18,GAP18,28C,34.8406837809564,-4.47357028081736,12.8396467788024
reference-44-GAP18-44hpf_P2_H1,44,FALSE,0.578622573407595,GAP18,GAP18,28C,30.2251107414079,-5.92067187383494,8.98395582268667
reference-42-GAP18-42hpf_P10_F9,42,FALSE,0.687692004177717,GAP18,GAP18,28C,26.8558992088245,-6.62805884435496,5.9620136840148
reference-40-GAP18-40hpf_P10_F6,40,FALSE,0.602654820865419,GAP18,GAP18,28C,26.1905147799504,-6.46936982229075,5.45451780388785
reference-42-GAP18-42hpf_P10_A11,42,FALSE,0.879949983840304,GAP18,GAP18,28C,32.1117737394751,-4.80548565938792,10.9993700606627
reference-40-GAP18-40hpf_P10_G2,40,FALSE,1.22749325476883,GAP18,GAP18,28C,29.9085854649568,-6.15412133291087,8.28271909783316
reference-44-GAP18-44hpf_P2_A5,44,FALSE,0.698783810696712,GAP18,GAP18,28C,32.2931856500539,-4.86261981084666,10.8564295394225
reference-40-GAP18-40hpf_P10_D1,40,FALSE,0.610049358544749,GAP18,GAP18,28C,32.1794711695311,-5.7521080310615,9.40748640129996
reference-44-GAP18-44hpf_P2_E3,44,FALSE,0.600806186445586,GAP18,GAP18,28C,32.4201245157145,-5.24818747594676,10.8578714949889
reference-46-GAP18-46hpf_P2_G10,46,FALSE,1.14800197471603,GAP18,GAP18,28C,35.7460448685936,-3.31905644491038,11.9647001845641
reference-40-GAP18-40hpf_P10_H2,40,FALSE,0.500979927774627,GAP18,GAP18,28C,29.6763773458669,-6.02980130269847,8.4253024680419
reference-42-GAP18-42hpf_P10_C11,42,FALSE,0.820793682405662,GAP18,GAP18,28C,26.0850772924172,-6.63402789190135,5.34580942223501
reference-46-GAP18-46hpf_P2_H9,46,FALSE,1.15169924355569,GAP18,GAP18,28C,32.4282946285938,-4.40692704274974,11.2063212020202
reference-46-GAP18-46hpf_P2_G12,46,FALSE,0.70432971395621,GAP18,GAP18,28C,32.3525479596804,-4.86390297963938,11.2462057692809
reference-46-GAP18-46hpf_P2_B12,46,FALSE,0.702481079536377,GAP18,GAP18,28C,34.5669777787211,-4.18126671865306,12.8316425902648
reference-42-GAP18-42hpf_P10_B8,42,FALSE,0.615595261804247,GAP18,GAP18,28C,34.8406936731558,-4.43329470708689,12.7489666564269
reference-40-GAP18-40hpf_P10_B1,40,FALSE,0.650719315781065,GAP18,GAP18,28C,30.4030528969352,-5.74392359807811,9.03556104729605
reference-42-GAP18-42hpf_P10_B10,42,FALSE,0.794912800528006,GAP18,GAP18,28C,28.4772390396106,-6.39801352575145,7.68545147011709
reference-46-GAP18-46hpf_P2_D7,46,FALSE,0.669205659979391,GAP18,GAP18,28C,34.6246032328503,-4.19678633764109,12.8158526046081
reference-44-GAP18-44hpf_P2_D1,44,FALSE,0.449218164019315,GAP18,GAP18,28C,30.4058730660628,-5.73265688970408,9.09124132225943
reference-40-GAP18-40hpf_P10_C1,40,FALSE,0.650719315781065,GAP18,GAP18,28C,29.801565073716,-6.20157139852366,8.37322326729727
reference-40-GAP18-40hpf_P10_E2,40,FALSE,0.641476143681903,GAP18,GAP18,28C,23.8670261891845,-6.50160592153392,2.60678502152395
reference-46-GAP18-46hpf_P2_B7,46,FALSE,0.854069101962648,GAP18,GAP18,28C,34.3114296541346,-3.77965252950511,12.7329306227965
reference-46-GAP18-46hpf_P2_D8,46,FALSE,0.512071734293623,GAP18,GAP18,28C,34.7341189971642,-3.81266110494456,12.7374729735656
reference-40-GAP18-40hpf_P10_G1,40,FALSE,0.397456400264003,GAP18,GAP18,28C,27.3139061378896,-6.44348900869212,5.60864349434805
reference-42-GAP18-42hpf_P10_G12,42,FALSE,0.789366897268508,GAP18,GAP18,28C,26.0557960720812,-6.42531436040721,5.16962286065054
reference-44-GAP18-44hpf_P2_G5,44,FALSE,0.842977295443653,GAP18,GAP18,28C,34.8407035653553,-4.30434029653392,12.5385861022277
reference-46-GAP18-46hpf_P2_F11,46,FALSE,0.645173412521568,GAP18,GAP18,28C,35.9930002027242,-3.08289139821849,12.6367601973815
reference-42-GAP18-42hpf_P10_A12,42,FALSE,1.00011122112942,GAP18,GAP18,28C,29.8939717636335,-5.70954173162303,8.62221571038199
reference-40-GAP18-40hpf_P10_B2,40,FALSE,0.737605133513196,GAP18,GAP18,28C,30.362462837027,-6.31374257161937,7.55398317406607
reference-46-GAP18-46hpf_P2_A7,46,FALSE,0.757940112131355,GAP18,GAP18,28C,34.8407134575547,-4.35490220144114,12.528613529901
reference-46-GAP18-46hpf_P2_H12,46,FALSE,0.641476143681903,GAP18,GAP18,28C,35.011244836713,-3.53240054204783,13.4145922286315
reference-42-GAP18-42hpf_P10_E8,42,FALSE,0.854069101962648,GAP18,GAP18,28C,29.8061603772518,-6.18671219899974,8.46679206917715
reference-44-GAP18-44hpf_P2_B6,44,FALSE,0.622989799483577,GAP18,GAP18,28C,32.4761951506465,-4.98190444066844,11.4098610503478
reference-42-GAP18-42hpf_P10_D11,42,FALSE,0.634081606002572,GAP18,GAP18,28C,32.2495047397842,-5.74496596410594,9.31006666253042
reference-40-GAP18-40hpf_P10_E3,40,FALSE,0.809701875886667,GAP18,GAP18,28C,26.0856664156467,-6.6098436649116,5.36121221611929
reference-44-GAP18-44hpf_P2_H5,44,FALSE,0.680297466498387,GAP18,GAP18,28C,33.8364089177876,-4.90315144613108,11.7194170577331
reference-42-GAP18-42hpf_P10_G11,42,FALSE,0.798610069367671,GAP18,GAP18,28C,29.8882300392248,-5.85174887731395,8.78290506432486
reference-40-GAP18-40hpf_P10_C6,40,FALSE,0.722816058154536,GAP18,GAP18,28C,29.8538662014826,-6.25613587453685,8.37251230309439
reference-44-GAP18-44hpf_P2_D6,44,FALSE,0.839280026603988,GAP18,GAP18,28C,32.293041155539,-4.94365637853465,10.8426985366149
reference-46-GAP18-46hpf_P2_G8,46,FALSE,1.17203422217385,GAP18,GAP18,28C,34.6338162145744,-3.4985064800056,12.6645130736632
reference-42-GAP18-42hpf_P10_E11,42,FALSE,0.828188220084993,GAP18,GAP18,28C,29.8297564874325,-5.93354075506053,8.68773122857046
reference-42-GAP18-42hpf_P10_D9,42,FALSE,0.979776242511263,GAP18,GAP18,28C,32.7845720758107,-5.24974673345408,10.6203274352355
reference-46-GAP18-46hpf_P2_C10,46,FALSE,0.979776242511263,GAP18,GAP18,28C,34.4323278261065,-3.98466866567454,12.4981426818175
reference-46-GAP18-46hpf_P2_D9,46,FALSE,0.765334649810685,GAP18,GAP18,28C,34.4133402742504,-3.92960684850535,12.4716229064269
reference-46-GAP18-46hpf_P2_B9,46,FALSE,0.752394208871857,GAP18,GAP18,28C,33.2023090427674,-4.1229895885261,11.9566769225402
reference-40-GAP18-40hpf_P10_E5,40,FALSE,0.62483843390341,GAP18,GAP18,28C,23.867036081384,-6.52389996602854,2.27603658268881
reference-40-GAP18-40hpf_P10_F2,40,FALSE,0.665508391139726,GAP18,GAP18,28C,25.6041625816223,-6.68880217626414,4.78874536583853
reference-42-GAP18-42hpf_P10_E9,42,FALSE,0.933560382015449,GAP18,GAP18,28C,29.6312559097178,-5.85727160528025,8.43627353737784
reference-40-GAP18-40hpf_P10_D6,40,FALSE,0.680297466498387,GAP18,GAP18,28C,29.6605094099633,-5.89928620412669,8.42906757424307
reference-46-GAP18-46hpf_P2_F9,46,FALSE,1.04262981278557,GAP18,GAP18,28C,33.1816053204546,-3.95356314733348,11.8835739714904
reference-42-GAP18-42hpf_P10_G10,42,FALSE,0.488039486835799,GAP18,GAP18,28C,30.0434768288817,-5.68070309713206,8.70221277306509
reference-40-GAP18-40hpf_P10_C4,40,FALSE,0.842977295443653,GAP18,GAP18,28C,32.8393483819142,-5.19720595434031,10.5478491408629
reference-46-GAP18-46hpf_P2_G7,46,FALSE,0.909528134557626,GAP18,GAP18,28C,35.322204001297,-3.36547225072703,12.9533514601989
reference-46-GAP18-46hpf_P2_H11,46,FALSE,0.977927608091431,GAP18,GAP18,28C,34.2384086844068,-3.77481549337229,12.6221270186706
reference-42-GAP18-42hpf_P10_G9,42,FALSE,0.573076670148097,GAP18,GAP18,28C,32.1245861515649,-4.67860644414744,10.970604382257
reference-40-GAP18-40hpf_P10_E1,40,FALSE,0.626687068323242,GAP18,GAP18,28C,29.6905527689582,-5.88890688970408,8.59127374718619
reference-42-GAP18-42hpf_P10_A7,42,FALSE,0.807853241466834,GAP18,GAP18,28C,29.6773989682483,-6.07182400777659,8.51065393517447
reference-44-GAP18-44hpf_P2_B5,44,FALSE,0.554590325949772,GAP18,GAP18,28C,26.906160756373,-6.56197302892527,6.09313961098624
reference-46-GAP18-46hpf_P2_A8,46,FALSE,0.787518262848676,GAP18,GAP18,28C,35.3216781651022,-2.8608431155952,13.4712242705627
reference-42-GAP18-42hpf_P10_F12,42,FALSE,0.839280026603988,GAP18,GAP18,28C,30.3049678027991,-5.65978329732737,9.01940008233023
reference-44-GAP18-44hpf_P2_A1,44,FALSE,0.604503455285251,GAP18,GAP18,28C,30.0283881103055,-5.9062246616157,8.84613653252554
reference-46-GAP18-46hpf_P2_C9,46,FALSE,0.865160908481644,GAP18,GAP18,28C,33.3704985287468,-4.0204037959846,12.1530842406554
