oligo_tag,timepoint,temp,Size_Factor,sample,pseudostage,ref_pseudostage,mean.nn.time,mean.nn.pseudostage,umap_1,umap_2
HF4-24-HF4-24hpf-32C_P2_A7,24,32C,1.00423404720285,HF4,2.21573679591927,6.12985885026044,31.04,17.5260501206538,-4.73776531219482,-2.65975308418274
HF4-30-HF4-30hpf-34C_P9_C11,30,34C,1.00779516084542,HF4,14.4559421709715,25.4909348599135,36.976,26.82492709773,-6.12856435775757,0.38566717505455
HF4-24-HF4-24hpf-34C_P2_D8,24,34C,0.995331263096443,HF4,2.51982431434207,13.8771345181016,32.4,19.2441563274587,-4.85243558883667,-2.4675772190094
HF4-36-HF4-36hpf-32C_P12_B5,36,32C,0.998892376739007,HF4,12.7850600116831,23.3489454833187,36.968,26.8067922471165,-6.61101150512695,4.51450634002686
HF4-36-HF4-36hpf-34C_P12_C9,36,34C,1.00067293356029,HF4,16.9867201347069,23.276328538259,36.96,25.9079831672408,-6.34368133544922,2.66621589660645
HF4-30-HF4-30hpf-34C_P9_G8,30,34C,0.99177014945388,HF4,11.8341930880212,23.3489454833187,38.72,26.6604062330022,-6.35354995727539,2.5795361995697
HF4-30-HF4-30hpf-34C_P9_D12,30,34C,1.00245349038157,HF4,17.1028068467641,21.0089547790769,36.08,23.968464116427,-6.29465818405151,2.48521614074707
HF4-24-HF4-24hpf-34C_P2_B10,24,34C,0.998892376739007,HF4,1.55454319646678,13.8771345181016,31.2,17.7197930309506,-4.80470037460327,-2.57333850860596
HF4-30-HF4-30hpf-32C_P9_C3,30,32C,1.00245349038157,HF4,14.3986175794847,23.276328538259,36.08,24.5323256671136,-6.21607542037964,1.92234253883362
HF4-36-HF4-36hpf-32C_P12_H3,36,32C,1.00512432561349,HF4,12.785146854754,25.4909348599135,36,26.5740642209268,-6.32856464385986,3.9404182434082
HF4-36-HF4-36hpf-32C_P12_D4,36,32C,1.00067293356029,HF4,12.7852336978249,23.3489454833187,38,27.0300659729841,-6.4955415725708,4.74972534179688
HF4-36-HF4-36hpf-34C_P12_G11,36,34C,0.997111819917725,HF4,12.7853205408959,23.3489454833187,38.72,26.8458424264621,-6.35993003845215,2.82626271247864
HF4-24-HF4-24hpf-34C_P2_F11,24,34C,1.00156321197093,HF4,0.826304508379754,6.12074984439379,26.44,10.6186995430987,-3.75472283363342,-5.5601282119751
HF4-30-HF4-30hpf-32C_P9_G7,30,32C,1.00067293356029,HF4,14.3914182651865,23.3489454833187,36.56,26.3674380584888,-6.44393110275269,2.44461870193481
HF4-24-HF4-24hpf-32C_P2_D4,24,32C,1.00423404720285,HF4,0.850235504747009,6.12985885026044,27.608,12.4685603559636,-3.75053596496582,-5.05670881271362
HF4-36-HF4-36hpf-32C_P12_E7,36,32C,0.999782655149648,HF4,12.7854073839668,23.3489454833187,38.8,28.0251378713238,-6.45354843139648,5.74445343017578
HF4-30-HF4-30hpf-34C_P9_B8,30,34C,0.998892376739007,HF4,16.9868069777779,20.9105629197511,35.84,23.9424690698361,-6.21100330352783,2.43674945831299
HF4-36-HF4-36hpf-34C_P12_F9,36,34C,1.00423404720285,HF4,12.8312027148828,23.3489454833187,39.04,27.6161057810515,-6.18668460845947,4.04397392272949
HF4-36-HF4-36hpf-32C_P12_B7,36,32C,1.00067293356029,HF4,12.7854942270377,23.276328538259,36.48,25.6413496001555,-6.03560209274292,3.12317657470703
HF4-30-HF4-30hpf-32C_P9_C5,30,32C,1.00512432561349,HF4,11.2299070280508,23.3489454833187,38.8,25.3897372051023,-5.49339056015015,0.057261161506176
HF4-36-HF4-36hpf-34C_P12_A12,36,34C,1.00156321197093,HF4,13.2482843467354,23.8670261891845,40.88,27.5623433449016,-6.33302927017212,5.08846187591553
HF4-30-HF4-30hpf-32C_P9_D7,30,32C,1.00156321197093,HF4,14.8408935189495,23.3489454833187,36,25.6516327042504,-6.46042346954346,2.77250576019287
HF4-30-HF4-30hpf-32C_P9_F4,30,32C,1.00423404720285,HF4,14.7541929983822,16.0565607406917,34.4,22.5676438639153,-5.62053442001343,-0.489403605461121
HF4-24-HF4-24hpf-32C_P2_B7,24,32C,0.999782655149648,HF4,0.00384286115618249,6.11692284644427,25.92,9.61854771078401,-3.48749732971191,-5.77311372756958
HF4-36-HF4-36hpf-32C_P12_B4,36,32C,1.00423404720285,HF4,12.7855810701086,23.3489454833187,37.88,27.8105353606883,-6.9305853843689,5.79708623886108
HF4-24-HF4-24hpf-34C_P2_G10,24,34C,1.00156321197093,HF4,2.78676014960473,13.8771345181016,33.28,20.3214200060199,-4.69572639465332,-2.62593030929565
HF4-30-HF4-30hpf-34C_P9_H8,30,34C,1.00245349038157,HF4,16.9868938208488,23.3489454833187,36.32,26.4294282822286,-6.08227348327637,3.53134179115295
HF4-30-HF4-30hpf-34C_P9_A11,30,34C,1.00334376879221,HF4,16.9869806639197,23.3489454833187,38.64,25.6560037241621,-6.31431436538696,2.52496957778931
HF4-36-HF4-36hpf-32C_P12_C7,36,32C,1.00512432561349,HF4,12.7856679131796,25.5134105332413,39.016,28.0500700648765,-6.47274494171143,5.82868528366089
HF4-24-HF4-24hpf-32C_P2_F5,24,32C,1.00690488243477,HF4,0.00392970422711159,6.10835892999798,24.8,8.02293767860757,-3.53728890419006,-5.91601514816284
HF4-30-HF4-30hpf-32C_P9_G4,30,32C,1.00423404720285,HF4,15.7547336660228,17.7515346805894,34.96,22.8472525388075,-6.33377838134766,2.46696138381958
HF4-30-HF4-30hpf-32C_P9_A5,30,32C,1.00067293356029,HF4,14.3987044225557,23.8670261891845,39.44,26.2817479025636,-6.55626344680786,2.17589139938355
HF4-24-HF4-24hpf-32C_P2_E6,24,32C,1.00779516084542,HF4,0.00401654729804068,6.12074984439379,24.728,7.86508547529145,-3.11699104309082,-6.41744136810303
HF4-36-HF4-36hpf-34C_P12_G12,36,34C,1.00601460402413,HF4,12.7857547562505,26.1442464255393,42.24,30.5347763857187,-5.25899982452393,8.3764705657959
HF4-36-HF4-36hpf-32C_P12_F6,36,32C,1.00067293356029,HF4,12.7858415993214,23.3489454833187,37.52,26.4353075832999,-6.43897819519043,3.56539487838745
HF4-24-HF4-24hpf-34C_P2_D10,24,34C,1.00245349038157,HF4,2.51863144414725,13.8771345181016,32.16,19.6692516965317,-4.767662525177,-2.50335311889648
HF4-30-HF4-30hpf-32C_P9_C7,30,32C,1.00334376879221,HF4,14.4638418272523,16.0565607406917,36.16,24.4509753946777,-5.51111888885498,-1.01524722576141
HF4-24-HF4-24hpf-32C_P2_C6,24,32C,0.999782655149648,HF4,0.70086403631814,6.11038516657858,25.76,9.38707090566102,-3.48708200454712,-5.12514686584473
HF4-36-HF4-36hpf-34C_P12_E10,36,34C,1.00423404720285,HF4,12.7859284423924,23.867036081384,40.8,28.5683398704535,-6.20519018173218,5.66419982910156
HF4-36-HF4-36hpf-34C_P12_B12,36,34C,1.00334376879221,HF4,12.2124372585971,23.3489454833187,38.48,25.7223258554232,-6.25805711746216,2.67521023750305
HF4-30-HF4-30hpf-32C_P9_H6,30,32C,1.00601460402413,HF4,15.7739882201012,23.3489454833187,35.76,25.71420610661,-5.94750928878784,0.274604916572571
HF4-24-HF4-24hpf-34C_P2_E9,24,34C,0.99177014945388,HF4,2.17660779481579,13.8771345181016,32.4,19.162356933534,-4.88336372375488,-2.49340200424194
HF4-36-HF4-36hpf-34C_P12_D11,36,34C,0.987318757400676,HF4,12.7860152854633,25.970951251918,41.28,29.1001870488689,-6.30984926223755,5.61331844329834
HF4-30-HF4-30hpf-34C_P9_A10,30,34C,1.00156321197093,HF4,16.5167005069581,16.0565607406917,34.48,22.011673362697,-5.20513105392456,-2.11091327667236
HF4-36-HF4-36hpf-32C_P12_A5,36,32C,0.999782655149648,HF4,12.7861021285342,23.3489454833187,38.32,26.5385299803007,-6.24528646469116,3.26290035247803
HF4-24-HF4-24hpf-32C_P2_B3,24,32C,1.00067293356029,HF4,0.00410339036896978,6.12813514819241,26.896,11.2220438133008,-3.44571542739868,-5.86748552322388
HF4-30-HF4-30hpf-32C_P9_F6,30,32C,0.998002098328366,HF4,16.9870675069906,17.6103960529821,35.44,23.4531785076433,-6.26280736923218,2.13073182106018
HF4-24-HF4-24hpf-32C_P2_F7,24,32C,0.999782655149648,HF4,0.850322347817938,6.12813514819241,27.496,12.2095228654381,-3.65748453140259,-5.25382900238037
HF4-24-HF4-24hpf-32C_P2_G5,24,32C,1.00156321197093,HF4,3.99905416283159,6.11692284644427,27.12,11.4133004690301,-3.69057416915894,-4.90789651870728
HF4-30-HF4-30hpf-34C_P9_H11,30,34C,1.00245349038157,HF4,17.3744203928121,23.8670261891845,39.68,26.9428304708412,-6.32299709320068,2.62195539474487
HF4-36-HF4-36hpf-34C_P12_H12,36,34C,0.992660427864521,HF4,12.1921756487109,23.3489454833187,38.88,26.4225916996456,-6.18429136276245,2.55892682075501
HF4-36-HF4-36hpf-32C_P12_B3,36,32C,1.00245349038157,HF4,12.7861889716051,23.3489454833187,39.28,27.7559399119912,-6.20817184448242,5.49317073822022
HF4-24-HF4-24hpf-34C_P2_D11,24,34C,0.994440984685803,HF4,3.87369432269603,10.3425061575895,32.16,18.909515707918,-4.80316352844238,-2.66663479804993
HF4-30-HF4-30hpf-32C_P9_C4,30,32C,1.00423404720285,HF4,15.7548205090938,23.3489454833187,36.264,26.5770486288287,-6.34242153167725,3.75101709365845
HF4-30-HF4-30hpf-34C_P9_B11,30,34C,1.00156321197093,HF4,11.817655149715,23.3489454833187,38.24,26.2922962436948,-6.40192985534668,2.58725738525391
HF4-30-HF4-30hpf-34C_P9_G9,30,34C,1.00245349038157,HF4,16.9871543500616,20.9105629197511,35.92,24.5207997946264,-6.21288204193115,2.66339445114136
HF4-30-HF4-30hpf-34C_P9_B9,30,34C,1.00334376879221,HF4,11.8434260551243,23.3489454833187,39.36,26.5375602082126,-5.76209688186646,0.16582553088665
HF4-30-HF4-30hpf-32C_P9_D4,30,32C,0.992660427864521,HF4,14.2554598787495,23.3489454833187,37.52,26.1591526944208,-6.41368865966797,2.45088267326355
HF4-30-HF4-30hpf-34C_P9_B12,30,34C,0.996221541507084,HF4,11.2333209430871,16.0565607406917,37.36,24.173533709404,-5.07842397689819,-2.16583132743835
HF4-36-HF4-36hpf-32C_P12_F7,36,32C,0.998002098328366,HF4,12.7862758146761,23.3489454833187,37.264,26.9245685417306,-6.31871366500855,4.29598712921143
HF4-30-HF4-30hpf-32C_P9_F5,30,32C,1.00601460402413,HF4,16.0000168264989,17.6103960529821,36,23.7185946261716,-6.2312331199646,2.47229695320129
HF4-36-HF4-36hpf-32C_P12_C4,36,32C,1.00690488243477,HF4,12.786362657747,23.8670261891845,39.52,26.8368960582498,-6.27758026123047,2.93747782707214
HF4-30-HF4-30hpf-34C_P9_H10,30,34C,0.997111819917725,HF4,11.1395725288705,23.3489454833187,39.2,26.5262150063366,-6.27155590057373,2.61906266212463
HF4-30-HF4-30hpf-34C_P9_D11,30,34C,1.00334376879221,HF4,11.1104330735963,23.3489454833187,37.28,25.6543598594915,-6.29280805587769,2.36376643180847
HF4-36-HF4-36hpf-32C_P12_D3,36,32C,1.00156321197093,HF4,12.7864495008179,23.3489454833187,37.032,26.6857498531238,-6.55626916885376,3.84228205680847
HF4-30-HF4-30hpf-32C_P9_D5,30,32C,0.999782655149648,HF4,15.7549073521647,21.0089547790769,36.16,25.0939548274315,-6.28567218780518,2.44425058364868
HF4-30-HF4-30hpf-32C_P9_H3,30,32C,1.00334376879221,HF4,15.7549941952356,23.3489454833187,36.176,26.4780541146439,-6.33960676193237,3.20669198036194
HF4-36-HF4-36hpf-32C_P12_B6,36,32C,1.00067293356029,HF4,12.7865363438888,23.3489454833187,38.4,26.1249562564876,-6.36952209472656,3.79533815383911
HF4-24-HF4-24hpf-32C_P2_D5,24,32C,0.999782655149648,HF4,0.124306017999932,6.10882657435307,25.92,9.54238232404194,-3.5004358291626,-5.50201606750488
HF4-36-HF4-36hpf-32C_P12_G3,36,32C,1.00334376879221,HF4,12.7866231869598,23.3489454833187,37.28,26.4858984985003,-6.36444187164307,4.2259373664856
HF4-36-HF4-36hpf-32C_P12_A4,36,32C,1.00779516084542,HF4,12.7867100300307,23.867036081384,37.52,27.0386103643769,-6.65235757827759,4.69488763809204
HF4-36-HF4-36hpf-34C_P12_F8,36,34C,0.995331263096443,HF4,16.9872411931325,23.276328538259,36.96,25.8356789887887,-6.1920952796936,2.98594737052918
HF4-30-HF4-30hpf-32C_P9_F7,30,32C,1.00423404720285,HF4,15.8583958742681,23.3489454833187,35.84,24.9118584892321,-6.24073648452759,1.54337286949158
HF4-30-HF4-30hpf-32C_P9_G6,30,32C,1.00156321197093,HF4,16.5432237488215,16.0565607406917,33.84,21.2206171825385,-4.94385576248169,-1.46420693397522
HF4-36-HF4-36hpf-34C_P12_C12,36,34C,1.00245349038157,HF4,12.4012018065969,23.3489454833187,37.76,25.7630082608332,-6.26653099060059,2.63370513916016
HF4-30-HF4-30hpf-32C_P9_B4,30,32C,1.00601460402413,HF4,14.6241071645387,23.3489454833187,36.176,26.3307573994905,-6.70552778244019,2.37451720237732
HF4-24-HF4-24hpf-32C_P2_F3,24,32C,1.00690488243477,HF4,0.166315276259019,6.12985885026044,28.8,14.9482201077815,-4.14421367645264,-4.30054712295532
HF4-30-HF4-30hpf-34C_P9_F12,30,34C,0.998892376739007,HF4,16.9873280362034,17.6103960529821,35.12,23.0696059898698,-6.51592826843262,1.64681684970856
HF4-30-HF4-30hpf-32C_P9_B7,30,32C,1.00067293356029,HF4,14.5471905170022,16.0565607406917,35.2,22.9837204699806,-5.98931932449341,1.17796885967255
HF4-30-HF4-30hpf-34C_P9_F9,30,34C,1.00512432561349,HF4,17.040401177179,23.3489454833187,37.2,25.9686862974519,-6.37483310699463,2.66931533813477
HF4-30-HF4-30hpf-32C_P9_A7,30,32C,1.00690488243477,HF4,14.3987912656266,16.0565607406917,34.96,22.6795414247086,-5.95967864990234,0.66672420501709
HF4-30-HF4-30hpf-32C_P9_G5,30,32C,0.998892376739007,HF4,14.6192847308488,23.3489454833187,35.76,25.0112422358799,-6.45234346389771,1.06157791614532
HF4-30-HF4-30hpf-34C_P9_D9,30,34C,0.998892376739007,HF4,12.2817750210432,17.6103960529821,36.72,23.9503583017819,-6.16872072219849,2.47663831710815
HF4-36-HF4-36hpf-32C_P12_A6,36,32C,1.00601460402413,HF4,12.7867968731016,23.3489454833187,38.8,26.8922804890782,-6.39865255355835,4.71180105209351
HF4-30-HF4-30hpf-34C_P9_F10,30,34C,0.994440984685803,HF4,16.9874148792743,16.1345824590141,35.2,23.0765516636551,-5.77585887908936,0.897715210914612
HF4-36-HF4-36hpf-32C_P12_G5,36,32C,1.00601460402413,HF4,12.7868837161726,25.4909348599135,38.112,28.0527221740487,-6.73753309249878,5.68347311019898
HF4-24-HF4-24hpf-32C_P2_H5,24,32C,1.00067293356029,HF4,1.03994509616127,6.12985885026044,30.08,16.2084976160686,-4.67867422103882,-2.72348308563232
HF4-24-HF4-24hpf-34C_P2_B12,24,34C,0.989099314221958,HF4,1.65559530302138,6.12813514819241,27.68,11.9641804010413,-3.70100140571594,-5.01532030105591
HF4-30-HF4-30hpf-34C_P9_H12,30,34C,1.00067293356029,HF4,11.1681612433248,23.8670261891845,40.64,27.244965662681,-6.2527961730957,2.69545269012451
HF4-36-HF4-36hpf-34C_P12_G8,36,34C,0.994440984685803,HF4,12.7869705592435,23.3489454833187,39.92,27.6798796416882,-6.39650201797485,3.33230423927307
HF4-30-HF4-30hpf-34C_P9_E9,30,34C,1.00334376879221,HF4,16.7281250942917,23.3489454833187,36.16,26.1124862488137,-5.93117523193359,0.458925575017929
HF4-30-HF4-30hpf-32C_P9_E5,30,32C,1.00156321197093,HF4,16.6899727359767,20.9105629197511,35.68,23.7084320212979,-6.23288631439209,2.37751150131226
HF4-36-HF4-36hpf-32C_P12_C6,36,32C,1.00334376879221,HF4,12.7870574023144,23.3489454833187,37.84,26.3093053985191,-6.3121542930603,3.23763060569763
HF4-24-HF4-24hpf-34C_P2_G11,24,34C,0.995331263096443,HF4,2.73941041600989,6.10882657435307,28.48,12.6032882511797,-3.39429259300232,-5.95984745025635
HF4-30-HF4-30hpf-32C_P9_D6,30,32C,0.998892376739007,HF4,12.6867620892876,16.0565607406917,34,21.1560843858892,-4.94276523590088,-2.10085606575012
HF4-24-HF4-24hpf-34C_P2_D12,24,34C,0.997111819917725,HF4,1.66164157322836,6.12985885026044,29.92,16.0392574877695,-4.72320938110352,-2.81077718734741
